This is a list of accession numbers for annual reprots on Edgar
Ticker: MMM ; CIK: 66740
YEAR 2014 ; ACN  0001104659-14-00977
YEAR 2013 ; ACN  0001104659-1
YEAR 2012 ; ACN  0001104659-12-010566 
YEAR 2011 ; ACN  0001104659-11-007845 
YEAR 2010 ; ACN  0001104659-10-007295 
YEAR 2009 ; ACN  0001104659-09-009669 
YEAR 2008 ; ACN  0001104659-08-011226 
YEAR 2007 ; ACN  0001104659-07-01
YEAR 2006 ; ACN  0001104659-06-010894 
YEAR 2005 ; ACN  0001104659-05-008057 
YEAR 2004 ; ACN  0000897101-04-000425 Size: 97
YEAR 2003 ; ACN  0000066740-0
YEAR 2000 ; ACN  0000066740-00-000005 Size: 189 KB            
YEAR 1999 ; ACN  0000066740-99-000002 Size: 175 KB            
YEAR 1998 ; ACN  0000066740-98-000002 Size: 160 KB            
YEAR 1997 ; ACN  0000066740-97-00000
YEAR 1994 ; ACN  0000066740-94-00001
YEAR 1994 ; ACN  0000066740-94-000007 Size: 1
Ticker: CAS ; CIK: 18172
YEAR 2014 ; ACN  0000018172-14-000009 
YEAR 2013 ; ACN  0000018172-1
YEAR 2012 ; ACN  000119
YEAR 2011 ; ACN  000095012
YEAR 2010 ; ACN  000095012
YEAR 2009 ; ACN  00009501
YEAR 2008 ; ACN  00009501
YEAR 2007 ; ACN  00009501
YEAR 2006 ; ACN  00009501
YEAR 2005 ; ACN  00009501
YEAR 2004 ; ACN  00009501
YEAR 2003 ; ACN  00009501
YEAR 1994 ; ACN  0000950124-94-000484 Size: 249 KB            
Ticker: AOS ; CIK: 91142
YEAR 2014 ; ACN  000119
YEAR 2013 ; ACN  000119
YEAR 2012 ; ACN  000119
YEAR 2011 ; ACN  000119
YEAR 2010 ; ACN  000119
YEAR 2009 ; ACN  000119
YEAR 2008 ; ACN  000119
YEAR 2007 ; ACN  000119
YEAR 2006 ; ACN  000119
YEAR 2005 ; ACN  000119
YEAR 2004 ; ACN  0000897069-04-000452 Size: 781 KB            
YEAR 2003 ; ACN  0000897069-0
YEAR 2000 ; ACN  0000897069-00-0001
YEAR 1999 ; ACN  0000897069-99-000150 Size: 160 KB            
YEAR 1997 ; ACN  0000897069-97-000150 Size: 160 KB            
YEAR 1996 ; ACN  0000897069-96-000065 Size: 210 KB            
YEAR 1994 ; ACN  0000897069-94-00005
Ticker: AHC ; CIK: 1413898
YEAR 2014 ; ACN  000141
YEAR 2013 ; ACN  000141
YEAR 2012 ; ACN  000119
YEAR 2011 ; ACN  000095012
YEAR 2010 ; ACN  000095012
YEAR 2009 ; ACN  00009501
YEAR 2008 ; ACN  00009501
Ticker: AIR ; CIK: 1750
YEAR 2013 ; ACN  0001047469-1
YEAR 2012 ; ACN  0001047469-12-007
YEAR 2011 ; ACN  0001047469-11-006
YEAR 2010 ; ACN  0001047469-10-006500 
YEAR 2009 ; ACN  0001047469-09-00678
YEAR 2008 ; ACN  0001047469-08-008126 
YEAR 2007 ; ACN  0001104659-07-05517
YEAR 2006 ; ACN  0001104659-06-047248 
YEAR 2005 ; ACN  0001104659-05-0
YEAR 2004 ; ACN  0001047469-04-02
YEAR 2003 ; ACN  0001047469-0
YEAR 2002 ; ACN  0000912057-02-0
YEAR 1995 ; ACN  0000912057-95-006
YEAR 1994 ; ACN  0000912057-94-002818 Size: 21
Ticker: AAN ; CIK: 706688
YEAR 2014 ; ACN  0000706688-14-000015 
YEAR 2013 ; ACN  000119
YEAR 2012 ; ACN  000119
YEAR 2011 ; ACN  000095012
YEAR 2010 ; ACN  000095012
YEAR 2009 ; ACN  0001
YEAR 2008 ; ACN  0000950144-08-0015
YEAR 2007 ; ACN  0000950144-07-001717 
YEAR 2006 ; ACN  0000950144-06-002291 
YEAR 2005 ; ACN  0001104659-05-009960 
YEAR 2004 ; ACN  0001047469-04-007891 Size: 578 KB            
YEAR 2003 ; ACN  0001047469-0
YEAR 2002 ; ACN  0000950144-02-00
YEAR 2001 ; ACN  0000950144-01-0044
YEAR 1998 ; ACN  0000950144-98-00
YEAR 1997 ; ACN  0000950109-97-002675 Size: 1
YEAR 1996 ; ACN  00009
YEAR 1995 ; ACN  0000950109-95-002567 Size: 117 KB            
Ticker: ABT ; CIK: 1800
YEAR 2014 ; ACN  0001047469-14-001176 
YEAR 2013 ; ACN  0001047469-1
YEAR 2012 ; ACN  0001047469-12-001216 
YEAR 2011 ; ACN  0001047469-11-001056 
YEAR 2010 ; ACN  0001047469-10-001018 
YEAR 2009 ; ACN  0001047469-09-001642 
YEAR 2008 ; ACN  0001047469-08-001480 
YEAR 2007 ; ACN  0001104659-07-01
YEAR 2006 ; ACN  0001047469-06-002258 
YEAR 2005 ; ACN  0001047469-05-005185 
YEAR 2004 ; ACN  0001047469-04-005498 Size: 1 MB            
YEAR 2003 ; ACN  0001047469-0
YEAR 2001 ; ACN  0000912057-01-0060
YEAR 1999 ; ACN  0001047469-99-008952 Size: 
YEAR 1998 ; ACN  0001047469-98-009108 Size: 
YEAR 1997 ; ACN  0000912057-97-008
YEAR 1995 ; ACN  0000912057-95-001
YEAR 1994 ; ACN  0000912057-94-000771 Size: 
Ticker: ANF ; CIK: 1018840
