This is a list of accession numbers for annual reprots on Edgar
Name: 3M Company ; Ticker: MMM ; CIK: 66740
YEAR 2013 ; ACN 0001104659-14-009773
YEAR 2012 ; ACN 0001104659-13-010881
YEAR 2011 ; ACN 0001104659-12-010566
YEAR 2010 ; ACN 0001104659-11-007845
YEAR 2009 ; ACN 0001104659-10-007295
YEAR 2008 ; ACN 0001104659-09-009669
YEAR 2007 ; ACN 0001104659-08-011226
YEAR 2006 ; ACN 0001104659-07-013613
YEAR 2005 ; ACN 0001104659-06-010894
YEAR 2004 ; ACN 0001104659-05-008057
YEAR 2003 ; ACN 0000897101-04-000425
YEAR 2002 ; ACN 0000066740-03-000005
YEAR 1999 ; ACN 0000066740-00-000005
YEAR 1998 ; ACN 0000066740-99-000002
YEAR 1997 ; ACN 0000066740-98-000002
YEAR 1996 ; ACN 0000066740-97-000003
YEAR 1993 ; ACN 0000066740-94-000013
YEAR 1993 ; ACN 0000066740-94-000007
Name: A. M. Castle & Co. ; Ticker: CAS ; CIK: 18172
YEAR 2013 ; ACN 0000018172-14-000009
YEAR 2012 ; ACN 0000018172-13-000012
YEAR 2011 ; ACN 0001193125-12-114627
YEAR 2010 ; ACN 0000950123-11-024918
YEAR 2009 ; ACN 0000950123-10-024155
YEAR 2008 ; ACN 0000950137-09-001747
YEAR 2007 ; ACN 0000950137-08-003478
YEAR 2006 ; ACN 0000950137-07-004218
YEAR 2005 ; ACN 0000950137-06-004041
YEAR 2004 ; ACN 0000950137-05-003138
YEAR 2003 ; ACN 0000950137-04-001778
YEAR 2002 ; ACN 0000950137-03-001249
YEAR 1993 ; ACN 0000950124-94-000484
Name: A. O. Smith Corporation ; Ticker: AOS ; CIK: 91142
YEAR 2013 ; ACN 0001193125-14-060153
YEAR 2012 ; ACN 0001193125-13-080129
YEAR 2011 ; ACN 0001193125-12-081738
YEAR 2010 ; ACN 0001193125-11-045134
YEAR 2009 ; ACN 0001193125-10-042097
YEAR 2008 ; ACN 0001193125-09-037280
YEAR 2007 ; ACN 0001193125-08-034592
YEAR 2006 ; ACN 0001193125-07-033962
YEAR 2005 ; ACN 0001193125-06-038388
YEAR 2004 ; ACN 0001193125-05-032911
YEAR 2003 ; ACN 0000897069-04-000452
YEAR 2002 ; ACN 0000897069-03-000237
YEAR 1999 ; ACN 0000897069-00-000134
YEAR 1998 ; ACN 0000897069-99-000150
YEAR 1996 ; ACN 0000897069-97-000150
YEAR 1995 ; ACN 0000897069-96-000065
YEAR 1993 ; ACN 0000897069-94-000053
Name: A.H. Belo Corporation ; Ticker: AHC ; CIK: 1413898
YEAR 2013 ; ACN 0001413898-14-000014
YEAR 2012 ; ACN 0001413898-13-000013
YEAR 2011 ; ACN 0001193125-12-107434
YEAR 2010 ; ACN 0000950123-11-024802
YEAR 2009 ; ACN 0000950123-10-035266
YEAR 2008 ; ACN 0000950134-09-005615
YEAR 2007 ; ACN 0000950134-08-005741
Name: AAR Corporation ; Ticker: AIR ; CIK: 1750
YEAR 2012 ; ACN 0001047469-13-007797
YEAR 2011 ; ACN 0001047469-12-007300
YEAR 2010 ; ACN 0001047469-11-006302
YEAR 2009 ; ACN 0001047469-10-006500
YEAR 2008 ; ACN 0001047469-09-006783
YEAR 2007 ; ACN 0001047469-08-008126
YEAR 2006 ; ACN 0001104659-07-055173
YEAR 2005 ; ACN 0001104659-06-047248
YEAR 2004 ; ACN 0001104659-05-033688
YEAR 2003 ; ACN 0001047469-04-023905
YEAR 2002 ; ACN 0001047469-03-028005
YEAR 2001 ; ACN 0000912057-02-033450
YEAR 1994 ; ACN 0000912057-95-006316
YEAR 1993 ; ACN 0000912057-94-002818
Name: Aaron's Inc. ; Ticker: AAN ; CIK: 706688
YEAR 2013 ; ACN 0000706688-14-000015
YEAR 2012 ; ACN 0001193125-13-071592
YEAR 2011 ; ACN 0001193125-12-088733
YEAR 2010 ; ACN 0000950123-11-018548
YEAR 2009 ; ACN 0000950123-10-018116
YEAR 2008 ; ACN 0001362310-09-002984
YEAR 2007 ; ACN 0000950144-08-001538
YEAR 2006 ; ACN 0000950144-07-001717
YEAR 2005 ; ACN 0000950144-06-002291
YEAR 2004 ; ACN 0001104659-05-009960
YEAR 2003 ; ACN 0001047469-04-007891
YEAR 2002 ; ACN 0001047469-03-011371
YEAR 2001 ; ACN 0000950144-02-003290
YEAR 2000 ; ACN 0000950144-01-004438
YEAR 1997 ; ACN 0000950144-98-003864
YEAR 1996 ; ACN 0000950109-97-002675
YEAR 1995 ; ACN 0000931763-96-000118
YEAR 1994 ; ACN 0000950109-95-002567
Name: Abbott Laboratories ; Ticker: ABT ; CIK: 1800
YEAR 2013 ; ACN 0001047469-14-001176
YEAR 2012 ; ACN 0001047469-13-001180
YEAR 2011 ; ACN 0001047469-12-001216
YEAR 2010 ; ACN 0001047469-11-001056
YEAR 2009 ; ACN 0001047469-10-001018
YEAR 2008 ; ACN 0001047469-09-001642
YEAR 2007 ; ACN 0001047469-08-001480
YEAR 2006 ; ACN 0001104659-07-013496
YEAR 2005 ; ACN 0001047469-06-002258
YEAR 2004 ; ACN 0001047469-05-005185
YEAR 2003 ; ACN 0001047469-04-005498
YEAR 2002 ; ACN 0001047469-03-006107
YEAR 2000 ; ACN 0000912057-01-006039
YEAR 1998 ; ACN 0001047469-99-008952
YEAR 1997 ; ACN 0001047469-98-009108
YEAR 1996 ; ACN 0000912057-97-008391
YEAR 1994 ; ACN 0000912057-95-001314
YEAR 1993 ; ACN 0000912057-94-000771
Name: Abercrombie & Fitch ; Ticker: ANF ; CIK: 1018840
YEAR 2013 ; ACN 0001018840-14-000033
YEAR 2012 ; ACN 0001018840-13-000012
YEAR 2011 ; ACN 0001193125-12-134456
YEAR 2010 ; ACN 0000950123-11-030172
YEAR 2009 ; ACN 0000950123-10-029409
YEAR 2008 ; ACN 0000950152-09-003195
YEAR 2007 ; ACN 0000950152-08-002415
YEAR 2006 ; ACN 0000950152-07-002885
YEAR 2005 ; ACN 0000950152-06-003026
YEAR 2004 ; ACN 0000950152-05-003151
YEAR 2003 ; ACN 0000950152-04-002881
YEAR 2002 ; ACN 0000950152-03-004327
YEAR 2001 ; ACN 0001021408-02-005406
YEAR 1999 ; ACN 0000950152-00-003189
YEAR 1997 ; ACN 0000950109-98-002824
YEAR 1996 ; ACN 0000950109-97-003385
